199908020000042,02/08/1999,100704213,TRT230800T13,KES,B,50044,,2000000,2000000,W,101041019,0,02/08/1999,,94.15,TLR,,1000880000000,0,0
199908020000043,02/08/1999,100705439,TRT230800T13,KES,B,49964,,2800000,2800000,A,100854593,0,02/08/1999,,94.45,TLR,,1398992000000,0,0
199908020000044,02/08/1999,100709598,TRT230800T13,KES,B,50033,,50000,50000,A,100846614,0,02/08/1999,,94.19,TLR,,25016500000,0,0
199908020000045,02/08/1999,100711965,TRT230800T13,KES,S,50081,,200000,0,M,100711965,0,02/08/1999,,94.01,TLR,,100162000000,0,0
199908020000046,02/08/1999,100714557,TRB271099T17,KES,B,85153,,500000,0,M,100714557,0,02/08/1999,,74,TLR,,425765000000,0,0
199908020000047,02/08/1999,100717205,TRT230800T13,KES,S,50137,,1000000,1000000,W,112945007,0,02/08/1999,,93.8,TLR,,501370000000,0,0
199908020000048,02/08/1999,100730155,TRT230800T13,KES,S,50164,,1000000,1000000,W,131544969,199908020000019,02/08/1999,,93.7,TLR,,501640000000,0,0
199908020000049,02/08/1999,100731236,TRT230800T13,KES,B,50084,,2000000,0,M,100731236,0,02/08/1999,,94,TLR,,1001680000000,0,0
199908020000050,02/08/1999,100735976,TRT230800T13,KES,S,50217,,50000,50000,A,101504841,0,02/08/1999,,93.5,TLR,,25108500000,0,0
199908020000051,02/08/1999,100748337,TRT230800T13,KES,B,50084,,100000,0,M,100748337,0,02/08/1999,,94,TLR,,50084000000,0,0
199908020000052,02/08/1999,100758527,TRT230800T13,KES,S,50084,,700000,0,M,100758527,0,02/08/1999,,94,TLR,,350588000000,0,0
199908020000053,02/08/1999,100804928,TRT230800T13,KES,S,50124,,1000000,1000000,W,141010369,0,02/08/1999,,93.85,TLR,,501240000000,0,0
199908020000054,02/08/1999,100806679,TRT230800T13,KES,S,50084,,150000,0,M,100806679,199908020000015,02/08/1999,,94,TLR,,75126000000,0,0
199908020000055,02/08/1999,100809924,TRT230800T13,KES,B,49806,,50000,50000,W,120416853,0,02/08/1999,,95.05,TLR,,24903000000,0,0
199908020000056,02/08/1999,100810885,TRT230800T13,KES,B,50057,,1000000,0,M,100810885,0,02/08/1999,,94.1,TLR,,500570000000,0,0
199908020000057,02/08/1999,100822727,TRT230800T13,KES,B,50031,,5000000,0,M,100822727,199908020000032,02/08/1999,,94.2,TLR,,2501550000000,0,0
199908020000058,02/08/1999,100829929,TRT230800T13,KES,S,50097,,100000,100000,A,100911859,0,02/08/1999,,93.95,TLR,,50097000000,0,0
199908020000059,02/08/1999,100831351,TRT230800T13,KES,B,50084,,50000,0,M,100831351,0,02/08/1999,,94,TLR,,25042000000,0,0
199908020000060,02/08/1999,100846614,TRT230800T13,KES,B,50084,,50000,0,M,100846614,199908020000044,02/08/1999,,94,TLR,,25042000000,0,0
199908020000061,02/08/1999,100848719,TRT230800T13,KES,B,50084,,100000,0,M,100848719,0,02/08/1999,,94,TLR,,50084000000,0,0
199908020000062,02/08/1999,100854593,TRT230800T13,KES,B,50033,,2800000,0,M,100854593,199908020000043,02/08/1999,,94.19,TLR,,1400924000000,0,0
199908020000063,02/08/1999,100858623,TRT230800T13,KES,S,50137,,1000000,1000000,A,101706944,0,02/08/1999,,93.8,TLR,,501370000000,0,0
199908020000064,02/08/1999,100911859,TRT230800T13,KES,S,50118,,100000,100000,A,101029647,199908020000058,02/08/1999,,93.87,TLR,,50118000000,0,0
199908020000065,02/08/1999,100932129,TRD230901261,KES,B,97250,,200000,0,M,100932129,0,02/08/1999,,64.5,TLR,,194500000000,0,0
199908020000066,02/08/1999,100935545,TRT230800T13,KES,B,50060,,100000,0,M,100935545,0,02/08/1999,,94.09,TLR,,50060000000,0,0
199908020000067,02/08/1999,100946863,TRT230800T13,KES,B,50084,,500000,0,M,100946863,0,02/08/1999,,94,TLR,,250420000000,0,0
199908020000068,02/08/1999,100949371,TRT060101T10,KES,S,114500,,50000,50000,W,120129541,0,02/08/1999,,77.7,TLR,,57250000000,0,0
199908020000069,02/08/1999,101006482,TRT230800T13,KES,S,50217,,500000,500000,W,135428962,0,02/08/1999,,93.5,TLR,,251085000000,0,0
199908020000070,02/08/1999,101008057,TRT230800T13,KES,B,50097,,50000,0,M,101008057,0,02/08/1999,,93.95,TLR,,25048500000,0,0
199908020000071,02/08/1999,101029647,TRT230800T13,KES,S,50137,,100000,100000,A,101202905,199908020000064,02/08/1999,,93.8,TLR,,50137000000,0,0
